country,import_shipments,export_shipments,top_import_source,import_source_share_pct,top_export_market,export_market_share_pct,top_export_commodity,top_import_commodity
Madagascar,619464,1356394,China,87,United States,50,Garments & Apparel,Cotton
Malawi,186579,305120,China,100,Germany,31,Tobacco,
Malaysia,175687207,218085313,China,32,China,21,Electronics,Electronics
Maldives,565388,79391,Malaysia,24,Thailand,51,,
Mali,459648,144844,,,China,92,,
Malta,3431605,1321167,Italy,23,Germany,19,Electronics,Refined Petroleum
Mauritania,541471,2608105,China,56,Spain,61,Seafood & Fish,
Mauritius,981855,363902,China,34,United States,36,Garments & Apparel,Seafood & Fish
Mexico,379174002,373743005,United States,54,United States,87,Machinery,Electronics
Moldova,785520,967559,Turkiye,63,Italy,23,Garments & Apparel,Carpets & Rugs
Mongolia,884947,1434695,,,China,98,Refined Petroleum,
Montenegro,327870,380576,,,,,,
Montserrat,3803,1338,,,,,,
Morocco,15634095,12784682,Spain,29,Spain,41,Garments & Apparel,Machinery
Mozambique,1770245,2642761,Thailand,30,Italy,39,Aluminium,Fertilizers
Myanmar,6910875,9219383,China,55,China,18,Garments & Apparel,Steel & Iron
Namibia,371484,1128611,Germany,34,Spain,33,Seafood & Fish,
Nauru,1637,43341,,,,,,
Nepal,861872,86132,China,85,United States,34,,Cotton
Netherlands,434469259,423566046,Germany,27,Germany,31,Machinery,Electronics
New Zealand,13397856,22747489,Australia,24,China,34,Dairy & Milk,Machinery
Nicaragua,1551606,2854837,United States,75,United States,79,Garments & Apparel,Cocoa
Niger,202048,81863,,,,,,
Nigeria,14492911,11675678,China,54,United States,18,Refined Petroleum,Machinery
Norway,18170617,38944589,Germany,28,United Kingdom,22,Seafood & Fish,Machinery
Oman,6471169,14371365,China,24,China,36,Steel & Iron,Trucks & Commercial Vehicles
Pakistan,18744489,13187707,China,54,United States,25,Garments & Apparel,Steel & Iron
Panama,9790797,2275304,China,43,Netherlands,41,Nuts,Garments & Apparel
Papua New Guinea,1389449,4557586,Australia,36,China,44,Wood & Timber,Copper
Paraguay,2954014,2878911,United States,60,Brazil,78,Wheat,Electronics
Peru,13008012,49012682,China,35,United States,39,Nuts,Machinery
Philippines,103868568,62059684,China,36,China,18,Electronics,Electronics
Poland,215747909,206825808,Germany,34,Germany,42,Machinery,Machinery
Portugal,28297222,22447563,Spain,43,Spain,32,Garments & Apparel,Machinery
Qatar,7111395,22933102,United Kingdom,18,South Korea,20,Refined Petroleum,Machinery
Romania,28309711,25356127,Germany,29,Germany,33,Electronics,Electronics
Russia,53732017,113972094,China,47,China,25,Steel & Iron,Machinery
Rwanda,215781,292909,China,93,United States,34,Spices,
Saint Vincent and The Grenadines,79260,6008,,,,,,
Samoa,102030,9767,,,,,,
San Marino,87229,31301,,,Brazil,80,,
Sao Tome and Principe,7662,1744,,,,,,
Saudi Arabia,106709128,100166119,China,37,China,25,Organic Chemicals,Machinery
Senegal,2827488,970071,Brazil,30,Spain,33,Seafood & Fish,Wheat
Serbia,6029571,5728201,Germany,30,Germany,34,Electronics,Aluminium
Seychelles,150684,109564,Spain,81,Japan,37,Seafood & Fish,Seafood & Fish
Sierra Leone,349582,1017982,Turkiye,48,China,58,Cocoa,
Singapore,192944959,189513357,China,25,Hong Kong,24,Electronics,Electronics
Slovakia,25059945,24006838,Germany,27,Germany,30,Electronics,Electronics
Slovenia,10534028,8616830,Germany,24,Germany,36,Electronics,Steel & Iron
Somalia,308688,24909,,,,,,
South Africa,53961685,97585090,China,42,China,16,Steel & Iron,Machinery
South Korea,402053359,372674694,China,39,China,37,Electronics,Electronics
South Sudan,71564,318768,,,,,,
Spain,266924706,243917305,Germany,21,Germany,20,Machinery,Machinery
Sri Lanka,3784395,4208291,China,41,United States,43,Garments & Apparel,Fertilizers
Sudan,1413406,1042406,Saudi Arabia,35,China,62,Soybeans,Sugar
Suriname,409064,177532,,,United States,52,,
Sweden,40129400,45836359,Germany,31,Germany,21,Machinery,Machinery
Switzerland,63645933,59553946,Germany,45,Germany,34,Organic Chemicals,Machinery
Syria,1674283,282258,Turkiye,71,Turkiye,55,Spices,Fertilizers
Tajikistan,496889,248494,,,Turkiye,87,,
Tanzania,3525384,1266557,China,67,China,27,Copper,Footwear
Thailand,161393930,188603551,China,34,United States,25,Electronics,Electronics
Togo,2247487,377327,China,41,China,45,Soybeans,Refined Petroleum
Tonga,32141,6540,,,,,,
